house_type,insulation,schedule,Loc_code,Hydro_resource,SH_DW_code,Occ_code,Operation_SH_life,Operation_WH_life,P_annual_kWh_life,Operation_life,P_avg_peak_kW_year,Manufacture_SH,Manufacture_WH,Manufacture,Distribution_SH,Distribution_WH,Distribution,Installation_SH,Installation_WH,Installation,EOL_SH,EOL_WH,EOL,Other_SH,Other_WH,Other,Embodied_life,Total_life
Mass,H1,Ideal,AK,Hhigh,HP-HP,1,205.86303458815627,233.31379239327828,8021.523821320105,439.1768269814345,0.14191610281641526,1215.547618,479.5114065,1695.0590245000003,27.44847036,19.34982176,46.79829212000001,76.31200903,13.95159063,90.26359966,241.3279934,74.17019318,315.49818658000004,1264.174085,285.3529412,1549.5270262000004,3697.146129060001,4136.322956041436
Mass,H1,Ideal,AK,Hhigh,HP-HP,2,205.86303458815627,344.4279372974148,10369.579795467738,550.2909718855711,0.17749018580882378,1215.547618,479.5114065,1695.0590245000003,27.44847036,19.34982176,46.79829212000001,76.31200903,13.95159063,90.26359966,241.3279934,74.17019318,315.49818658000004,1264.174085,285.3529412,1549.5270262000004,3697.146129060001,4247.437100945572
Mass,H1,Ideal,AK,Hhigh,HP-HP,3,205.86303458815627,481.48308209178896,13098.478560912303,687.3461166799452,0.18925812720351023,1215.547618,543.696683,1759.2443010000002,27.44847036,24.404181279999996,51.85265164,76.31200903,17.98784422,94.29985325,241.3279934,81.10948345,322.43747685,1264.174085,285.3529412,1549.5270262000004,3777.3613089400005,4464.707425619946
Mass,H1,Ideal,AK,Hhigh,HP-HP,4,205.86303458815627,640.4549517870064,16675.34687363507,846.3179863751626,0.23006786812919577,1215.547618,715.28243,1930.830048,27.44847036,37.88247335,65.33094371,76.31200903,28.75118714,105.06319617,241.3279934,99.6142575,340.9422509,1264.174085,285.3529412,1549.5270262000004,3991.6934649800005,4838.011451355163
Mass,H1,Ideal,AK,Hhigh,HP-HP,5,205.86303458815627,762.7875709003935,19038.585242536225,968.6506054885497,0.2631915033887114,1215.547618,715.28243,1930.830048,27.44847036,37.88247335,65.33094371,76.31200903,28.75118714,105.06319617,241.3279934,99.6142575,340.9422509,1264.174085,285.3529412,1549.5270262000004,3991.6934649800005,4960.34407046855
Mass,H1,Ideal,AK,Hhigh,HP-HPo,1,205.86303458815627,244.5318928297668,8240.914504856963,450.39492741792304,0.1422741804245575,1215.547618,517.9205701,1733.4681881000001,27.44847036,22.38243748,49.83090784000001,76.31200903,16.37334279,92.68535182000001,241.3279934,78.33376735,319.66176075000004,1264.174085,285.3529412,1549.5270262000004,3745.1732347100005,4195.568162127924
Mass,H1,Ideal,AK,Hhigh,HP-HPo,2,205.86303458815627,355.02363202545877,10584.864347773624,560.886666613615,0.17861422225784795,1215.547618,517.9205701,1733.4681881000001,27.44847036,22.38243748,49.83090784000001,76.31200903,16.37334279,92.68535182000001,241.3279934,78.33376735,319.66176075000004,1264.174085,285.3529412,1549.5270262000004,3745.1732347100005,4306.059901323615
Mass,H1,Ideal,AK,Hhigh,HP-HPo,3,205.86303458815627,499.44143353167175,13457.804042023454,705.304468119828,0.1977430526561717,1215.547618,595.2489089,1810.7965269000001,27.44847036,28.4476689,55.896139260000005,76.31200903,21.2168471,97.52885613,241.3279934,86.66091566999998,327.98890907,1264.174085,285.3529412,1549.5270262000004,3841.73745756,4547.041925679829
Mass,H1,Ideal,AK,Hhigh,HP-HPo,4,205.86303458815627,672.3597055648587,17324.21132386455,878.2227401530149,0.2500545685427041,1215.547618,800.9478006000002,2016.4954186000004,27.44847036,44.62161938,72.07008974,76.31200903,34.1328586,110.44486763,241.3279934,108.86664449999999,350.1946379,1264.174085,285.3529412,1549.5270262000004,4098.732040070001,4976.954780223015
Mass,H1,Ideal,AK,Hhigh,HP-HPo,5,205.86303458815627,794.7169019517654,19684.334865831825,1000.5799365399216,0.26793954112344537,1215.547618,800.9478006000002,2016.4954186000004,27.44847036,44.62161938,72.07008974,76.31200903,34.1328586,110.44486763,241.3279934,108.86664449999999,350.1946379,1264.174085,285.3529412,1549.5270262000004,4098.732040070001,5099.311976609923
